National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2017-2018 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (109) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ † ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2017-2018 school year will not be available until the full 2017-2018 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ – ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ ‡ ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2017-2018.",,,,,,,,,,,,,,,,,,,,,,,,,
Data provided on student membership and staffing are from the official school level data for 2015-2016.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Missouri"" - County: ""st. louis city""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
2.92928E+11,MO-115115-4990115115,2929280,MO-115115,PK,5,ACAD OF ENVT SCI/MATH ELEM,ST. LOUIS CITY,St. Louis city,3325 Bell,ST. LOUIS,MO,63106,,(314)932-1464,11,City: Large,No,No,Yes,Yes,290,20,14.5,290,0
2.92928E+11,MO-115115-3250115115,2929280,MO-115115,6,8,ACAD OF ENVT SCI/MATH MIDDLE,ST. LOUIS CITY,St. Louis city,3021 HICKEY ST,ST. LOUIS,MO,63104,,(314)932-1465,11,City: Large,No,No,Yes,Yes,216,14,15.4,216,0
2.92928E+11,MO-115115-4000115115,2929280,MO-115115,PK,6,ADAMS ELEM.,ST. LOUIS CITY,St. Louis city,1311 TOWER GROVE AVE,ST LOUIS,MO,63110,3837,(314)535-3910,11,City: Large,No,No,Yes,Yes,305,23,13.3,305,0
2.92928E+11,MO-115115-4250115115,2929280,MO-115115,PK,5,AMES VISUAL/PERF. ARTS,ST. LOUIS CITY,St. Louis city,2900 HADLEY,ST LOUIS,MO,63107,3911,(314)241-7165,11,City: Large,No,Yes,Yes,Yes,402,27.2,14.8,402,0
2.92928E+11,MO-115115-4060115115,2929280,MO-115115,PK,6,ASHLAND ELEM. AND BR.,ST. LOUIS CITY,St. Louis city,3921 N NEWSTEAD,ST LOUIS,MO,63115,2748,(314)385-4767,11,City: Large,No,No,Yes,Yes,334,24,13.9,334,0
2.90058E+11,MO-115906-6931115906,2900579,MO-115906,PK,6,ASPIRE ACADEMY,CONFLUENCE ACADEMIES,St. Louis city,5421 THEKLA AVENUE,ST LOUIS,MO,63120,2513,(314)383-8900,11,City: Large,Yes,No,Yes,Yes,668,50,13.4,668,0
2.92928E+11,MO-115115-1250115115,2929280,MO-115115,9,12,BEAUMONT CTE HIGH SCHOOL,ST. LOUIS CITY,St. Louis city,3836 NATURAL BRIDGE AVE,ST LOUIS,MO,63107,2003,(314)533-2410,11,City: Large,No,No,Yes,Yes,456,37.3,12.2,456,0
2.92928E+11,MO-115115-4180115115,2929280,MO-115115,PK,5,BRYAN HILL ELEM.,ST. LOUIS CITY,St. Louis city,4342 ALDINE,ST LOUIS,MO,63113,2702,(314)534-0370,11,City: Large,No,No,Yes,Yes,187,14.5,12.9,187,0
2.92928E+11,MO-115115-4200115115,2929280,MO-115115,PK,5,BUDER ELEM.,ST. LOUIS CITY,St. Louis city,5319 LANSDOWNE AVE,ST LOUIS,MO,63109,2311,(314)352-4343,11,City: Large,No,No,Yes,Yes,415,31.2,13.3,415,0
2.92928E+11,MO-115115-3050115115,2929280,MO-115115,6,8,BUSCH MS CHARACTER ATHLETICS,ST. LOUIS CITY,St. Louis city,5910 CLIFTON AVE,ST LOUIS,MO,63109,3407,(314)352-1043,11,City: Large,No,Yes,Yes,Yes,346,20,17.3,346,0
2.92928E+11,MO-115115-1500115115,2929280,MO-115115,9,12,CARNAHAN SCH. OF THE FUTURE,ST. LOUIS CITY,St. Louis city,4041 S BROADWAY,ST LOUIS,MO,63118,4603,(314)457-0582,11,City: Large,No,No,Yes,Yes,383,26,14.7,383,0
2.90059E+11,MO-115915-6975115915,2900594,MO-115915,KG,8,CARONDELET LEADERSHIP ACADEMY,CARONDELET LEADERSHIP ACADEMY,St. Louis city,7604 Michigan Avenue,ST LOUIS,MO,63111,3332,(314)802-8744,11,City: Large,Yes,No,Yes,Yes,438,31,14.1,435,0
2.92928E+11,MO-115115-3070115115,2929280,MO-115115,6,8,CARR LANE VPA MIDDLE,ST. LOUIS CITY,St. Louis city,1004 N JEFFERSON AVE,ST LOUIS,MO,63106,2203,(314)231-0413,11,City: Large,No,Yes,Yes,Yes,563,35.1,16,563,0
2.92928E+11,MO-115115-1860115115,2929280,MO-115115,9,12,CENTRAL VISUAL/PERF. ARTS HIGH,ST. LOUIS CITY,St. Louis city,3125 S KINGSHIGHWAY BLVD,ST LOUIS,MO,63139,1027,(314)771-2772,11,City: Large,No,Yes,Yes,Yes,408,29.2,14,408,0
2.90059E+11,MO-115911-6955115911,2900585,MO-115911,PK,8,CITY GARDEN MONTESSORI SCHOOL,CITY GARDEN MONTESSORI,St. Louis city,1618 TOWER GROVE AVE,ST LOUIS,MO,63110,3715,(314)664-7646,11,City: Large,Yes,No,Yes,Yes,221,14,15.8,85,9
2.92928E+11,MO-115115-4360115115,2929280,MO-115115,PK,5,CLAY ELEM.,ST. LOUIS CITY,St. Louis city,3820 N 14TH ST,ST LOUIS,MO,63107,2928,(314)231-9608,11,City: Large,No,No,Yes,Yes,151,15,10.1,151,0
2.92928E+11,MO-115115-1440115115,2929280,MO-115115,9,12,CLEVELAND NJROTC ACADEMY,ST. LOUIS CITY,St. Louis city,3125 S Kingshighway,ST LOUIS,MO,63139,3404,(314)776-1301,11,City: Large,No,Yes,Yes,Yes,269,24,11.2,269,0
